run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,biosample,sample_title,collection_date,depth,env_biome,env_feature,env_material,geo_loc_name,lat_lon,cruise_id,bottle_id,isolation_source,biosamplemodel,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,yyyymmdd_edu,decy_edu,time_edu,latN_edu,lonW_edu,QF_edu,Depth_edu,Temp_edu,CTD_S_edu,Sal1_edu,Sig.th_edu,O2.1._edu,OxFix_edu,Anom1_edu,CO2_edu,Alk_edu,NO31_edu,NO21_edu,PO41_edu,Si1_edu,POC_edu,PON_edu,TOC_edu,TN_edu,Bact_edu,POP_edu,TDP_edu,SRP_edu,BSi_edu,LSi_edu,Pro_edu,Syn_edu,Piceu_edu,Naneu_edu
SRR5720232,PRJNA385855,8.357,WGS,RANDOM,NextSeq 550,S0583,marine metagenome,SRX2937322,"Metagenome from BATS, BATS173, 40m",S0583,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0583,SRS2299110,SAMN07137080,,2003-02-21,40,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS173,1017300310,"sample S0583, cruise BATS173, 40 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,27855946,8356783800,3475764607,2018-05-01 00:39:26,150,0,150,0,20030221,2003.1419,1905,31.683,64.173,2,160.4,19.843,36.664,-999,26.082,-999,17.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
SRR5720233,PRJNA385855,6.009,WGS,RANDOM,NextSeq 550,S0582,marine metagenome,SRX2937321,"Metagenome from BATS, BATS173, 1m",S0582,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0582,SRS2299109,SAMN07137079,,2003-02-21,1,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS173,1017300307,"sample S0582, cruise BATS173, 1 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,20031665,6009499500,2657167844,2018-05-01 00:39:26,150,0,150,0,20030221,2003.1419,1905,31.683,64.173,2,99.4,20.003,36.681,-999,26.05,-999,18.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
SRR5720235,PRJNA385855,3.99,WGS,RANDOM,NextSeq 550,S0588,marine metagenome,SRX2937319,"Metagenome from BATS, BATS178, 10m",S0588,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0588,SRS2299107,SAMN07137085,,2003-07-15,10,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS178,1017800407,"sample S0588, cruise BATS178, 10 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,13300975,3990292500,1670067677,2018-05-01 00:39:26,150,0,150,0,20030715,2003.53642,1903,31.648,64.317,2,4,28.331,36.444,-999,23.374,-999,27.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
SRR5720237,PRJNA385855,8.299,WGS,RANDOM,NextSeq 550,S0586,marine metagenome,SRX2937317,"Metagenome from BATS, BATS174, 80m",S0586,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0586,SRS2299105,SAMN07137083,,2003-03-22,80,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS174,1017400416,"sample S0586, cruise BATS174, 80 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,27661750,8298525000,3718244081,2018-05-01 00:39:26,150,0,150,0,20030322,2003.22019,851,31.676,64.172,2,78.5,19.562,36.639,-999,26.133,-999,18.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
SRR5720238,PRJNA385855,7.829,WGS,RANDOM,NextSeq 550,S0585,marine metagenome,SRX2937316,"Metagenome from BATS, BATS174, 1m",S0585,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0585,SRS2299104,SAMN07137082,,2003-03-22,1,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS174,1017400411,"sample S0585, cruise BATS174, 1 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,26097780,7829334000,3501251527,2018-05-01 00:39:26,150,0,150,0,20030322,2003.22019,851,31.676,64.172,2,3.7,19.815,36.658,-999,26.078,-999,18.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
SRR5720249,PRJNA385855,12.717,WGS,RANDOM,NextSeq 550,S0595,marine metagenome,SRX2937305,"Metagenome from BATS, BATS187, 40m",S0595,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0595,SRS2299093,SAMN07137092,,2004-04-21,40,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS187,1018700504,"sample S0595, cruise BATS187, 40 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,42389421,12716826300,5514526765,2018-05-01 00:39:26,150,0,150,0,20040421,2004.3054,1839,31.519,64.082,2,20.8,19.788,36.718,-999,26.131,-999,17.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
SRR5720251,PRJNA385855,5.212,WGS,RANDOM,NextSeq 550,S0597,marine metagenome,SRX2937303,"Metagenome from BATS, BATS192, 1m",S0597,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0597,SRS2299091,SAMN07137094,,2004-09-14,1,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS192,1019200501,"sample S0597, cruise BATS192, 1 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,17374067,5212220100,2324747654,2018-05-01 00:39:25,150,0,150,0,20040914,2004.70425,1808,31.554,64.175,2,2.7,28.253,36.637,-999,23.545,-999,27.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53,0,-999,-999,-999,-999,-999,-999
SRR5720252,PRJNA385855,9.049,WGS,RANDOM,NextSeq 550,S0598,marine metagenome,SRX2937302,"Metagenome from BATS, BATS192, 100m",S0598,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0598,SRS2299090,SAMN07137095,,2004-09-14,100,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS192,1019200507,"sample S0598, cruise BATS192, 100 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,30163252,9048975600,4007108282,2018-05-01 00:39:25,150,0,150,0,20040914,2004.70425,1808,31.554,64.175,2,99.9,19.509,36.625,-999,26.138,-999,20.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,67,0,-999,-999,-999,-999,-999,-999
SRR5720253,PRJNA385855,6.095,WGS,RANDOM,NextSeq 550,S0619,marine metagenome,SRX2937301,"Metagenome from BATS, BATS189, 100m",S0619,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0619,SRS2299089,SAMN07137116,,2004-06-15,100,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS189,1018900309,"sample S0619, cruise BATS189, 100 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,20315575,6094672500,2506400451,2018-05-01 00:39:25,150,0,150,0,20040615,2004.45557,1745,31.684,64.252,2,99.4,19.603,36.674,-999,26.15,-999,18.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,4,-999,-999,-999,-999,-999,-999
SRR5720256,PRJNA385855,10.733,WGS,RANDOM,NextSeq 550,S0594,marine metagenome,SRX2937298,"Metagenome from BATS, BATS187, 1m",S0594,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP109831,PRJNA385855,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0594,SRS2299086,SAMN07137091,,2004-04-21,1,ocean biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,BATS187,1018700501,"sample S0594, cruise BATS187, 1 m depth",MIGS/MIMS/MIMARKS.water,Temporal sampling of marine metagenomes from Station ALOHA and BATS,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]",1,35777935,10733380500,4714233707,2018-05-01 00:39:25,150,0,150,0,20040421,2004.3054,1839,31.519,64.082,2,3.7,19.909,36.704,-999,26.088,-999,17.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
