run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,biosample,sample_title,host,isolation_source,collection_date,geo_loc_name,lat_lon,samp_collect_device,source_material_id,temp,phosphate,nitro,biosamplemodel,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,replicate,library_id_pub,ccdho_expocode_pub,section_id_pub,latitude_decimal_deg_n_pub,longitude_decimal_deg_w_pub,year_pub,month_pub,day_pub,local_hour_pub,local_minute_pub,iso_datetime_utc_pub,depth,temperature_deg_c_pub,phosphate_bottle_umol_l_1_pub,nitrate+nitrite_bottle_umol_l_1_pub,ctd_station_no_pub,sample_method_pub,platform_strategy_pub
SRR12479645,PRJNA656268,2.523,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_126_meta,marine metagenome,SRX8973787,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_126_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_126,SRS7229380,SAMN15782920,I9N2016_126_meta,,"marine water, oceanic",2016-04-10T16:56:00Z,Indian Ocean,0.147463 N 93.375472 E,underway,IN126,30.862 C,,,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,8354235,2522978970,859474046,2021-03-01 10:08:58,151,0,151,0,"",I9N2016_126_meta,33RR20160321,I09N,0.147463,93.375472,2016,4,10,22,56,2016-04-10T16:56:00Z,7,30.861999999999998,NA,NA,NA,underway,NovaSeq_150PE
SRR12479646,PRJNA656268,3.086,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_125_meta,marine metagenome,SRX8973786,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_125_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_125,SRS7229379,SAMN15782919,I9N2016_125_meta,,"marine water, oceanic",2016-04-10T14:30:00Z,Indian Ocean,0.000613 N 93.441673 E,underway,IN125,31.108 C,0.000 umol/L,0.000 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,10217823,3085782546,1094277793,2021-03-01 10:08:58,151,0,151,0,"",I9N2016_125_meta,33RR20160321,I09N,0.000613,93.441673,2016,4,10,20,30,2016-04-10T14:30:00Z,7,31.108000000000001,0,0,NA,underway,NovaSeq_150PE
SRR12479647,PRJNA656268,2.753,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_124_meta,marine metagenome,SRX8973785,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_124_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_124,SRS7229378,SAMN15782918,I9N2016_124_meta,,"marine water, oceanic",2016-04-10T11:56:00Z,Indian Ocean,0.119813 S 93.483068 E,underway,IN124,31.236 C,,,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,9114655,2752625810,860867415,2021-03-01 10:08:58,151,0,151,0,"",I9N2016_124_meta,33RR20160321,I09N,-0.119813,93.483068,2016,4,10,17,56,2016-04-10T11:56:00Z,7,31.236000000000001,NA,NA,NA,underway,NovaSeq_150PE
SRR12479648,PRJNA656268,2.086,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_123_meta,marine metagenome,SRX8973784,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_123_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_123,SRS7229377,SAMN15782917,I9N2016_123_meta,,"marine water, oceanic",2016-04-10T09:00:00Z,Indian Ocean,0.315935 S 93.552152 E,underway,IN123,31.267 C,0.000 umol/L,0.000 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,6906974,2085906148,661246714,2021-03-01 10:08:58,151,0,151,0,"",I9N2016_123_meta,33RR20160321,I09N,-0.315935,93.552152,2016,4,10,15,0,2016-04-10T09:00:00Z,7,31.266999999999999,0,0,NA,underway,NovaSeq_150PE
SRR12479649,PRJNA656268,3.479,WGS,RANDOM,Illumina NovaSeq 6000,AMT2018_059_meta,marine metagenome,SRX8973783,Metagenome of whole ocean water: Bio-GO-SHIP,AMT2018_059_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,Station 31,AMT2018_059,SRS7229376,SAMN15782484,AMT2018_059_meta,,"marine water, oceanic",2018-10-10T15:04:00Z,Atlantic Ocean,1.150417 S 24.982050 W,CTD,AMT059,26.960 C,0.000 umol/L,0.070 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,11520738,3479262876,1108474212,2021-03-01 10:08:58,151,0,151,0,"",AMT2018_059_meta,74JC20180923,AMT28,-1.150417,-24.98205,2018,10,10,13,4,2018-10-10T15:04:00Z,5,26.96,0,7.0000000000000007E-2,31,CTD,NovaSeq_150PE
SRR12479650,PRJNA656268,2.191,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_122_meta,marine metagenome,SRX8973782,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_122_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_122,SRS7229375,SAMN15782916,I9N2016_122_meta,,"marine water, oceanic",2016-04-10T06:10:00Z,Indian Ocean,0.434600 S 93.587717 E,underway,IN122,30.848 C,,,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,7255001,2191010302,696228754,2021-03-01 10:08:59,151,0,151,0,"",I9N2016_122_meta,33RR20160321,I09N,-0.4346,93.587717,2016,4,10,12,10,2016-04-10T06:10:00Z,7,30.847999999999999,NA,NA,NA,underway,NovaSeq_150PE
SRR12479651,PRJNA656268,4.278,WGS,RANDOM,Illumina NovaSeq 6000,P182016_025_meta,marine metagenome,SRX8973781,Metagenome of whole ocean water: Bio-GO-SHIP,P182016_025_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,Station 59,P182016_025,SRS7229374,SAMN15783090,P182016_025_meta,,"marine water, oceanic",2016-12-08T04:15:00Z,Pacific Ocean,1.000000 S 110.000000 W,CTD,P18025,21.700 C,0.835 umol/L,10.230 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,14166632,4278322864,1364502917,2021-03-01 10:08:59,151,0,151,0,"",P182016_025_meta,33RO20161119,P18,-1,-110,2016,12,7,21,15,2016-12-08T04:15:00Z,3,21.7,0.83499999999999996,10.23,59,CTD,NovaSeq_150PE
SRR12479652,PRJNA656268,6.433,WGS,RANDOM,Illumina NovaSeq 6000,AMT2018_093_meta,marine metagenome,SRX8973780,Metagenome of whole ocean water: Bio-GO-SHIP,AMT2018_093_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,Station 50,AMT2018_093,SRS7229373,SAMN15782501,AMT2018_093_meta,,"marine water, oceanic",2018-10-19T15:01:00Z,Atlantic Ocean,30.005917 S 31.149717 W,CTD,AMT093,19.640 C,0.000 umol/L,0.000 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,21299788,6432535976,2057061483,2021-03-01 10:08:59,151,0,151,0,"",AMT2018_093_meta,74JC20180923,AMT28,-30.005917,-31.149717,2018,10,19,13,1,2018-10-19T15:01:00Z,5,19.64,0,0,50,CTD,NovaSeq_150PE
SRR12479653,PRJNA656268,2.347,WGS,RANDOM,Illumina NovaSeq 6000,P182016_024_meta,marine metagenome,SRX8973779,Metagenome of whole ocean water: Bio-GO-SHIP,P182016_024_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,Station 55,P182016_024,SRS7229372,SAMN15783089,P182016_024_meta,,"marine water, oceanic",2016-12-07T08:15:00Z,Pacific Ocean,0.000000 N 110.000000 W,CTD,P18024,21.400 C,0.881 umol/L,11.150 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,7771626,2347031052,745400808,2021-03-01 10:08:59,151,0,151,0,"",P182016_024_meta,33RO20161119,P18,0,-110,2016,12,7,1,15,2016-12-07T08:15:00Z,3,21.4,0.88100000000000001,11.15,55,CTD,NovaSeq_150PE
SRR12479654,PRJNA656268,4.181,WGS,RANDOM,Illumina NovaSeq 6000,P182016_023_meta,marine metagenome,SRX8973778,Metagenome of whole ocean water: Bio-GO-SHIP,P182016_023_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,Station 51,P182016_023,SRS7229371,SAMN15783088,P182016_023_meta,,"marine water, oceanic",2016-12-06T13:15:00Z,Pacific Ocean,1.000067 N 109.999920 W,CTD,P18023,22.000 C,0.852 umol/L,10.940 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,13844239,4180960178,1392881003,2021-03-01 10:08:59,151,0,151,0,"",P182016_023_meta,33RO20161119,P18,1.000067,-109.99992,2016,12,6,6,15,2016-12-06T13:15:00Z,3,22,0.85199999999999998,10.94,51,CTD,NovaSeq_150PE
