bottle_id_pub,biosample,run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,sample_title,collection_date,depth,env_biome,env_feature,env_material,geo_loc_name,geotraces_section,cruise_id,cruise_station,bottle_id,biosamplemodel,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,isolation_source,year,month,day,time,cruise_bodc,station_bodc,type_bodc,yyyy_mm_ddthh_mm_ss_sss_bodc,longitude_degrees_east_bodc,latitude_degrees_north_bodc,bot_depth_m_bodc,operators_cruise_name_bodc,ship_name_bodc,period_bodc,chief_scientist_bodc,geotraces_scientist_bodc,cruise_aliases_bodc,cruise_information_link_bodc,bodc_cruise_number_bodc,ctdprs_t_value_sensor_dbar_bodc,qv_seadatanet_bodc,depth_m_bodc,rosette_bottle_number_bodc,geotraces_sample_id_bodc,bottle_flag_bodc,cast_identifier_bodc,sampling_device_bodc,bodc_event_number_bodc,ncbi_metagenome_biosample_accession_bodc,ncbi_single_cell_genome_bioproject_accession_bodc,ncbi_16s_18s_rrna_gene_biosample_accession_bodc,embl_ebi_metagenome_mgnify_analysis_accession_bodc,temperature_degC,salinity_pss,salinity_d_conc_bottle_bodc,cfc_11_d_conc_bottle_pmol_kg_bodc,cfc_12_d_conc_bottle_pmol_kg_bodc,cfc113_d_conc_bottle_pmol_kg_bodc,sf6_d_conc_bottle_fmol_kg_bodc,he_d_conc_bottle_nmol_kg_bodc,ne_d_conc_bottle_nmol_kg_bodc,oxygen_d_conc_bottle_umol_kg_bodc,oxygen_umolKg,phosphate_umolKg,phosphate_ll_d_conc_fish_umol_kg_bodc,silicate_umolKg,nitrate_umolKg,nitrate_ll_d_conc_fish_umol_kg_bodc,nitrite_umolKg,nitrite_ll_d_conc_fish_umol_kg_bodc,no2_no3_d_conc_bottle_umol_kg_bodc,talk_d_conc_bottle_umol_kg_bodc,dic_umolKg,doc_umolKg,tdn_d_conc_bottle_umol_kg_bodc,chla_ngL,chlb_ngL,chlc_ngL,dv_chl_a_hplc_tp_conc_bottle_ng_liter_bodc,qv_odv_sample_bodc,size_frac_low,size_frac_up,size_frac,samp_size,samp_vol_we_dna_ext,latitude,longitude,lat_lon,layer,local_time,environmental_package
237494,SAMN07136931,SRR5788438,PRJNA385854,1.389,WGS,RANDOM,NextSeq 550,S0469,marine metagenome,SRX2974774,"Marine metagenome, Atlantic Ocean, 38.42539 S 10.08884 E, 62m",S0469,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0469,SRS2329783,,2010-10-26,62,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,4,237494,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,4628766,1388629800,601795592,2018-05-01 00:39:38,150,0,150,0,"",2010,10,26,06:22:00,GA10,Station 4,B,2010-10-26T01:15:38,10.0524,-38.416,5149,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,62.3,0,62,18,276,Bottle leak (5),CTD018_S,CTD,761148,SAMN07136931,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452656,11.7792,34.8414,34.8414,,,,,,,269.83902,263.99176,0.534974,,1.724224,,,0.126829,,5.30878,,,,,228.766724,0,4.066444,0,1,0.22,,0.22-NA,500,100,-38.42539,10.08884,-38.42539 10.08884,,,water
237496,SAMN07136930,SRR5788439,PRJNA385854,0.786,WGS,RANDOM,NextSeq 550,S0468,marine metagenome,SRX2974773,"Marine metagenome, Atlantic Ocean, 38.42539 S 10.08884 E, 52.1m",S0468,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0468,SRS2329780,,2010-10-26,52.1,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,4,237496,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,2621276,786382800,343474911,2018-05-01 00:39:38,150,0,150,0,"",2010,10,26,06:22:00,GA10,Station 4,B,2010-10-26T01:15:38,10.0524,-38.416,5149,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,52.25,0,52.1,20,278,No problem reported (0),CTD018_S,CTD,761148,SAMN07136930,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452653,11.7794,34.841702,34.841301,,,,,,,277.407806,263.741211,0.53098,,1.744205,,,0.126829,,5.329854,,,,,219.851715,0,6.791017,11.645431,1,0.22,,0.22-NA,500,100,-38.42539,10.08884,-38.42539 10.08884,,,water
237497,SAMN07136929,SRR5788440,PRJNA385854,1.384,WGS,RANDOM,NextSeq 550,S0467,marine metagenome,SRX2974772,"Marine metagenome, Atlantic Ocean, 38.42539 S 10.08884 E, 42.2m",S0467,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0467,SRS2329782,,2010-10-26,42.2,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,4,237497,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,4614269,1384280700,601593668,2018-05-01 00:39:38,150,0,150,0,"",2010,10,26,06:22:00,GA10,Station 4,B,2010-10-26T01:15:38,10.0524,-38.416,5149,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,42.3,0,42.2,21,279,No problem reported (0),CTD018_S,CTD,761148,SAMN07136929,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452652,11.7807,34.842098,34.842602,,,,,,,269.103424,263.920746,0.529533,,1.732927,,,0.126829,,5.281073,,,,,249.443039,0,0,8.267534,1,0.22,,0.22-NA,500,100,-38.42539,10.08884,-38.42539 10.08884,,,water
237498,SAMN07136928,SRR5788441,PRJNA385854,1.222,WGS,RANDOM,NextSeq 550,S0466,marine metagenome,SRX2974771,"Marine metagenome, Atlantic Ocean, 38.42539 S 10.08884 E, 21.4m",S0466,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0466,SRS2329781,,2010-10-26,21.4,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,4,237498,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,4073413,1222023900,535770732,2018-05-01 00:39:38,150,0,150,0,"",2010,10,26,06:22:00,GA10,Station 4,B,2010-10-26T01:15:38,10.0524,-38.416,5149,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,21.6,0,21.4,22,280,No problem reported (0),CTD018_S,CTD,761148,SAMN07136928,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452651,11.7819,34.8386,34.8386,,,,,,,270.92099,266.07486,0.522245,,1.708927,,,0.126829,,5.178927,,,,,306.047028,0,0,14.5466,1,0.22,,0.22-NA,500,100,-38.42539,10.08884,-38.42539 10.08884,,,water
237500,SAMN07136927,SRR5788442,PRJNA385854,1.207,WGS,RANDOM,NextSeq 550,S0465,marine metagenome,SRX2974770,"Marine metagenome, Atlantic Ocean, 38.42539 S 10.08884 E, 6.5m",S0465,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0465,SRS2329779,,2010-10-26,6.5,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,4,237500,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,4023804,1207141200,528453419,2018-05-01 00:39:38,150,0,150,0,"",2010,10,26,06:22:00,GA10,Station 4,B,2010-10-26T01:15:38,10.0524,-38.416,5149,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,6.65,0,6.5,24,282,No problem reported (0),CTD018_S,CTD,761148,SAMN07136927,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452650,11.7796,34.837601,34.8386,,,,,,,271.494629,266.331055,0.5153,,1.718683,,,0.126829,,5.144293,,,,,268.159119,0,0,0,1,0.22,,0.22-NA,500,100,-38.42539,10.08884,-38.42539 10.08884,,,water
237535,SAMN07136937,SRR5788306,PRJNA385854,53.881,WGS,RANDOM,NextSeq 550,S0475,marine metagenome,SRX2974426,"Marine metagenome, Atlantic Ocean, 40.06269 S 5.52721 E, 81.4m",S0475,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0475,SRS2329434,,2010-10-27,81.4,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,5,237535,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,179603272,53880981600,23160227945,2018-05-01 00:39:29,150,0,150,0,"",2010,10,27,19:24:00,GA10,Station 5,B,2010-10-27T15:53:19,5.52472,-40.0445,5242,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,82.05,0,81.4,11,341,No problem reported (0),CTD021_S,CTD,761154,SAMN07136937,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452466,11.6955,34.798698,34.799599,,,,,,,266.62439,262.398376,0.585204,,1.452693,,,0.156098,,4.878146,,,,,168.141052,0,0,0,1,0.22,,0.22-NA,500,100,-40.06269,5.52721,-40.06269 5.52721,,,water
237537,SAMN07136936,SRR5788305,PRJNA385854,40.966,WGS,RANDOM,NextSeq 550,S0474,marine metagenome,SRX2974427,"Marine metagenome, Atlantic Ocean, 40.06269 S 5.52721 E, 66.3m",S0474,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0474,SRS2329437,,2010-10-27,66.3,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,5,237537,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,136553716,40966114800,17703757752,2018-05-01 00:39:29,150,0,150,0,"",2010,10,27,19:24:00,GA10,Station 5,B,2010-10-27T15:53:19,5.52472,-40.0445,5242,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,66.95,0,66.3,13,343,No problem reported (0),CTD021_S,CTD,761154,SAMN07136936,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452467,11.6951,34.798599,34.7995,,,,,,,267.602936,262.88028,0.584222,,1.430702,,,0.156098,,4.851415,,,,,166.289337,0,0,12.329165,1,0.22,,0.22-NA,500,100,-40.06269,5.52721,-40.06269 5.52721,,,water
237538,SAMN07136935,SRR5788304,PRJNA385854,9.463,WGS,RANDOM,NextSeq 550,S0473,marine metagenome,SRX2974428,"Marine metagenome, Atlantic Ocean, 40.06269 S 5.52721 E, 51.2m",S0473,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0473,SRS2329436,,2010-10-27,51.2,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,5,237538,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,31544686,9463405800,4121080166,2018-05-01 00:39:29,150,0,150,0,"",2010,10,27,19:24:00,GA10,Station 5,B,2010-10-27T15:53:19,5.52472,-40.0445,5242,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,51.55,0,51.2,14,344,No problem reported (0),CTD021_S,CTD,761154,SAMN07136935,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452479,11.702,34.7994,34.800098,,,,,,,268.109253,263.34082,0.576942,,1.442849,,,0.156098,,4.824683,,,,,261.45752,0,0,28.986553,1,0.22,,0.22-NA,500,100,-40.06269,5.52721,-40.06269 5.52721,,,water
237545,SAMN07136934,SRR5788303,PRJNA385854,11.195,WGS,RANDOM,NextSeq 550,S0472,marine metagenome,SRX2974429,"Marine metagenome, Atlantic Ocean, 40.06269 S 5.52721 E, 21.6m",S0472,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0472,SRS2329438,,2010-10-27,21.6,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,5,237545,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,37316272,11194881600,4810452408,2018-05-01 00:39:29,150,0,150,0,"",2010,10,27,19:24:00,GA10,Station 5,B,2010-10-27T15:53:19,5.52472,-40.0445,5242,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,21.65,0,21.6,21,351,No problem reported (0),CTD021_S,CTD,761154,SAMN07136934,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452480,11.9467,34.806702,34.8078,,,,,,,270.118042,265.374268,0.562767,,1.413112,,,0.136585,,4.703805,,,,,147.920441,0,5.695991,9.487592,1,0.22,,0.22-NA,500,100,-40.06269,5.52721,-40.06269 5.52721,,,water
237547,SAMN07136933,SRR5788302,PRJNA385854,1.39,WGS,RANDOM,NextSeq 550,S0471,marine metagenome,SRX2974430,"Marine metagenome, Atlantic Ocean, 40.06269 S 5.52721 E, 6.3m",S0471,METAGENOMIC,PAIRED,ILLUMINA,"Civil and Environmental Engineering, MIT",SRP110813,PRJNA385854,marine metagenome,MIT,Civil and Environmental Engineering,MIT,"15 Vassar St., 48-424",Cambridge,USA,Steven Biller,sbiller@gmail.com,,S0471,SRS2329439,,2010-10-27,6.3,ocean_biome,ocean,water,Atlantic Ocean,GA10,D357,5,237547,MIGS/MIMS/MIMARKS.water,Marine metagenomes from the bioGEOTRACES project,Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep,Marine metagenomes from the bioGEOTRACES project Metagenome,"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP110813""}]",1,4633907,1390172100,605978260,2018-05-01 00:39:29,150,0,150,0,"",2010,10,27,19:24:00,GA10,Station 5,B,2010-10-27T15:53:19,5.52472,-40.0445,5242,D357,RRS Discovery,18/10/2010 - 22/11/2010,Henderson Gideon,Henderson Gideon,"",https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9956/,9956,6.4,0,6.3,23,353,No problem reported (0),CTD021_S,CTD,761154,SAMN07136933,"","",https://www.ebi.ac.uk/metagenomics/analyses/MGYA00452499,11.9483,34.8055,34.806702,,,,,,,269.924866,265.274048,0.560305,,1.445522,,,0.136585,,4.696098,,,,,106.68354,0,6.770601,0,1,0.22,,0.22-NA,500,100,-40.06269,5.52721,-40.06269 5.52721,,,water
