run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,biosample,sample_title,collection_date,depth,geo_loc_name,lat_lon,alkalinity,chlorophyll,diss_inorg_carb,nitro,ph,phaeopigments,salinity,silicate,temp,env_broad_scale,env_local_scale,env_medium,phosphate,tot_part_carb,isolation_source,filter_size_um,biosamplemodel,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,diss_oxygen,pressure,local_time,pre_filter_size_um,env_biome,env_feature,env_material,altitude,diss_org_carb
SRR23969139,PRJNA352737,6.338,WGS,RANDOM,NextSeq 500,HSD00-20a-288-S2C003-0005_190809,marine plankton metagenome,SRX19773742,"Planktonic metagenomic time series sample from SCOPE HOT cruise 288 at Station 2.0 and Cast 3.0, 5m deep sequenced on 20190809",HSD00-20a-288-S2C003-0005_190809,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 288 at Station 2.0 and Cast 3.0, 5m deep",HSD00-20a-288-S2C003-0005,SRS17137615,SAMN25282943,SCOPE HOT time series metagenomic sample HSD00-20a-288-S2C003-0005,2016-11-26,5,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.751 N 157.998 W,2312,116,1996.5,,8.074,,35.1246,1.27,24.966,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.04,2.3,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,21063169,6337818147,2561558329,2023-03-25 18:47:55,150.41,3.33,150.49,1.47,205.8,5.8,23-52-00,,"","","",,
SRR23969141,PRJNA352737,5.607,WGS,RANDOM,NextSeq 500,HSD00-20a-290-S2C003-0025_190927,marine plankton metagenome,SRX19773740,"Planktonic metagenomic time series sample from SCOPE HOT cruise 290 at Station 2.0 and Cast 5.0, 25m deep sequenced on 20190927",HSD00-20a-290-S2C003-0025_190927,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 290 at Station 2.0 and Cast 5.0, 25m deep",HSD00-20a-290-S2C005-0025,SRS17137614,SAMN25282771,SCOPE HOT time series metagenomic sample HSD00-20a-290-S2C005-0025,2017-02-23,25,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.797 N 157.969 W,2300,132,1995.1,,8.058,,34.9631,1.16,23.6272,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.07,2.18,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,18628281,5606520458,2214483325,2023-03-25 18:47:55,150.48,2.14,150.49,1.35,210.3,59.6,09-11-00,,"","","",,
SRR23969142,PRJNA352737,5.794,WGS,RANDOM,NextSeq 500,HSD00-20a-289-S2C003-0075_190809,marine plankton metagenome,SRX19773739,"Planktonic metagenomic time series sample from SCOPE HOT cruise 289 at Station 2.0 and Cast 3.0, 75m deep sequenced on 20190809",HSD00-20a-289-S2C003-0075_190809,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 289 at Station 2.0 and Cast 3.0, 75m deep",HSD00-20a-289-S2C003-0075,SRS17137612,SAMN25282829,SCOPE HOT time series metagenomic sample HSD00-20a-289-S2C003-0075,2017-01-24,75,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.748 N 157.994 W,2307,231,2003,,8.058,,35.0929,1.21,23.3363,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.07,2.16,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,19254137,5794375540,2284918135,2023-03-25 18:51:43,150.47,2.03,150.48,1.46,211.2,75.9,01-56-00,,"","","",,
SRR23969143,PRJNA352737,4.878,WGS,RANDOM,NextSeq 500,HSD00-20a-291-S2C005-0025_190927,marine plankton metagenome,SRX19773738,"Planktonic metagenomic time series sample from SCOPE HOT cruise 291 at Station 2.0 and Cast 5.0, 25m deep sequenced on 20190927",HSD00-20a-291-S2C005-0025_190927,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 291 at Station 2.0 and Cast 5.0, 25m deep",HSD00-20a-291-S2C005-0025,SRS17137611,SAMN25282744,SCOPE HOT time series metagenomic sample HSD00-20a-291-S2C005-0025,2017-03-29,25,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.738 N 157.953 W,2306,58,1990.9,,8.062,,34.9902,1.1,24.194,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.06,2.27,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,16211431,4878193112,1981965450,2023-03-25 18:46:48,150.45,2.07,150.46,1.87,215.2,25.3,00-26-00,,"","","",,
SRR23969144,PRJNA352737,8.924,WGS,RANDOM,NextSeq 500,HSD00-20a-292-S2C004-0075_190919,marine plankton metagenome,SRX19773737,"Planktonic metagenomic time series sample from SCOPE HOT cruise 292 at Station 2.0 and Cast 4.0, 75m deep sequenced on 20190919",HSD00-20a-292-S2C004-0075_190919,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 292 at Station 2.0 and Cast 4.0, 75m deep",HSD00-20a-292-S2C004-0075,SRS17137610,SAMN25282961,SCOPE HOT time series metagenomic sample HSD00-20a-292-S2C004-0075,2017-04-26,75,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.758 N 158.016 W,2311,141,2009.4,,8.039,,35.0234,1.67,23.6052,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.08,2.16,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,29653915,8923871240,3467371401,2023-03-25 18:59:39,150.47,1.83,150.47,1.68,216.7,78,00-06-00,,"","","",,
SRR23969145,PRJNA352737,6.254,WGS,RANDOM,NextSeq 500,HSD00-20a-291-S2C014-0100_190927,marine plankton metagenome,SRX19773736,"Planktonic metagenomic time series sample from SCOPE HOT cruise 291 at Station 2.0 and Cast 14.0, 100m deep sequenced on 20190927",HSD00-20a-291-S2C014-0100_190927,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 291 at Station 2.0 and Cast 14.0, 100m deep",HSD00-20a-291-S2C014-0100,SRS17137609,SAMN25283054,SCOPE HOT time series metagenomic sample HSD00-20a-291-S2C014-0100,2017-03-30,100,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.774 N 157.958 W,2320,197,2015,,8.051,,35.2139,1.29,22.5159,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.03,1.94,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,20784300,6254307959,2479772560,2023-03-25 18:52:59,150.45,2.36,150.46,1.7,217.5,100.6,05-57-00,,"","","",,
SRR23969146,PRJNA352737,6.372,WGS,RANDOM,NextSeq 500,HSD00-20a-296-S2C003-0045_191127,marine plankton metagenome,SRX19773735,"Planktonic metagenomic time series sample from SCOPE HOT cruise 296 at Station 2.0 and Cast 3.0, 45m deep sequenced on 20191127",HSD00-20a-296-S2C003-0045_191127,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 296 at Station 2.0 and Cast 3.0, 45m deep",HSD00-20a-296-S2C003-0045,SRS17137608,SAMN25283016,SCOPE HOT time series metagenomic sample HSD00-20a-296-S2C003-0045,2017-10-06,45,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.700 N 158.066 W,2319,71,1987.6,,8.08,,35.0873,0.92,26.7837,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.01,1.99,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,21173628,6371780982,2517935440,2023-03-25 18:38:59,150.44,2.99,150.49,1.38,203.2,42.4,23-57-00,,"","","",,
SRR23969147,PRJNA352737,4.832,WGS,RANDOM,NextSeq 500,HSD00-20a-297-S2C004-0025_191127,marine plankton metagenome,SRX19773734,"Planktonic metagenomic time series sample from SCOPE HOT cruise 297 at Station 2.0 and Cast 4.0, 25m deep sequenced on 20191127",HSD00-20a-297-S2C004-0025_191127,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 297 at Station 2.0 and Cast 4.0, 25m deep",HSD00-20a-297-S2C004-0025,SRS17137607,SAMN25282816,SCOPE HOT time series metagenomic sample HSD00-20a-297-S2C004-0025,2017-11-09,25,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.823 N 158.001 W,2307,80,1987.4,,8.079,,35.052,1.01,26.1045,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.04,2.16,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,16055743,4831935555,1977824393,2023-03-25 18:46:48,150.46,2.74,150.49,1.6,204.5,26.3,00-00-00,,"","","",,
SRR23969148,PRJNA352737,5.485,WGS,RANDOM,NextSeq 500,HSD00-20a-289-S2C003-0045_190809,marine plankton metagenome,SRX19773733,"Planktonic metagenomic time series sample from SCOPE HOT cruise 289 at Station 2.0 and Cast 3.0, 45m deep sequenced on 20190809",HSD00-20a-289-S2C003-0045_190809,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 289 at Station 2.0 and Cast 3.0, 45m deep",HSD00-20a-289-S2C003-0045,SRS17137606,SAMN25282777,SCOPE HOT time series metagenomic sample HSD00-20a-289-S2C003-0045,2017-01-24,45,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.748 N 157.994 W,2309,133,2002.9,,8.057,,35.0719,1.2,23.6041,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.08,2.3,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,18226120,5484601149,2168285427,2023-03-25 18:51:43,150.46,2.1,150.46,1.59,211.3,45.4,01-56-00,,"","","",,
SRR23969149,PRJNA352737,6.986,WGS,RANDOM,NextSeq 500,HSD00-20a-286-S2C003-0045_190722,marine plankton metagenome,SRX19773732,"Planktonic metagenomic time series sample from SCOPE HOT cruise 286 at Station 2.0 and Cast 3.0, 45m deep sequenced on 20190722",HSD00-20a-286-S2C003-0045_190722,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 286 at Station 2.0 and Cast 3.0, 45m deep",HSD00-20a-286-S2C003-0045,SRS17137605,SAMN25283051,SCOPE HOT time series metagenomic sample HSD00-20a-286-S2C003-0045,2016-08-09,45,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.740 N 157.970 W,2306,105,1997.5,,8.069,,34.9987,,25.5693,ENVO:00000447,ENVO:01000038,ENVO:00002151,,2.92,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,23211596,6985833686,2749018536,2023-03-25 18:46:48,150.47,2.23,150.49,1.26,210.3,45.2,23-57-00,,"","","",,
