run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,biosample,sample_title,ena_first_public,ena_last_update,event_device,external_id,iho,insdc_center_alias,insdc_center_name,insdc_first_public,insdc_last_update,insdc_status,latitude_end,longitude_end,sampling_objective,submitter_id,broker_name,depth,env_biome,env_feature,env_material,environmental_package,event_date_time,latitude,longitude,geo_loc_name,mrgid,project_name,protocol_label,salinity_pss,sample_name_1,sample_title_1,sampling_campaign,sampling_platform,sampling_site,temperature_degC,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,size_frac_low,size_frac_up,size_frac,lat_lon,year,month,day,time,collection_date,layer,local_time,samp_size,samp_vol_we_dna_ext
ERR770958,PRJEB8682,0.373,WGS,RANDOM,Illumina MiSeq,143,marine metagenome,ERX714221,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,C1 is an Italian LTER site for the North Adriatic Sea (Italy). The OSD project will enrich the present time series data set with the state-of-the-art sequencing information on the microbial community,SAMEA3275549,ERS667567,SAMEA3275549,OSD99_2014-06-21_1m_NPL022,2015-03-03,2016-10-21,"5 L Niskin Bottle, PAR, CTD",SAMEA3275549,Adriatic Sea,OSD_OGS (National Institute of Oceanography and Experimental Geophysic),OSD_OGS (National Institute of Oceanography and Experimental Geophysic),2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,45.70092,13.71003,C1 is an Italian LTER site for the North Adriatic Sea (Italy). The OSD project will enrich the present time series data set with the state-of-the-art sequencing information on the microbial community,143,"Max Planck Institute for Marine Microbiology, Bremen",1,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,2014-06-21T11:24:00+00,45.70092,13.71003,Adriatic Sea,3314,Micro B3,NPL022,33.931,143,OSD99_2014-06-21_1m_NPL022,OSD-Jun-2014,Research Vessel: VF RAFF 07,"OSD99,C1 North Adriatic Italy",20.821,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,910076,372719032,206808526,2015-03-04 04:56:27,204.77,81.52,204.77,81.52,0.22,,0.22-NA,45.70092 13.71003,2014,06,21,11:24:00,2014-06-21,surface water,,,
ERR770959,PRJEB8682,0.485,WGS,RANDOM,Illumina MiSeq,79,marine metagenome,ERX714313,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Water sample from dock in Urzelina for microbial community,SAMEA3275551,ERS667569,SAMEA3275551,OSD98_2014-06-21_0.5m_NPL022,2015-03-03,2016-10-21,bucket,SAMEA3275551,North Atlantic Ocean,"OSD_Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory","OSD_Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,38.64,-28.13,Water sample from dock in Urzelina for microbial community,79,"Max Planck Institute for Marine Microbiology, Bremen",0.5,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,2014-06-21T11:40:00+00,38.64,-28.13,North Atlantic Ocean,1912,Micro B3,NPL022,35.6,79,OSD98_2014-06-21_0.5m_NPL022,OSD-Jun-2014,from shore,"OSD98,Sao Jorge Azores",18.7,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1390178,485219770,262175999,2015-03-04 04:56:27,174.52,77.72,174.52,77.72,0.22,,0.22-NA,38.64 -28.13,2014,06,21,11:40:00,2014-06-21,surface water,,,
ERR770960,PRJEB8682,0.401,WGS,RANDOM,Illumina MiSeq,37,marine metagenome,ERX714314,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"Water sampling for surface microbial community characterization in Faial-Pico channel, a highly dynamic region influenced by tides charactherized by semidiurnal periodocity with maximum values during falling sea level. SST varies from 16ÃÂºC (winter/spring months) to 24ÃÂºC (summer/autumn months) with 0,1mg/m3 Chla (summer /autumn months) to about 2mg/m3 (winter/spring months)",SAMEA3275552,ERS667570,SAMEA3275552,OSD97_2014-06-21_0.5m_NPL022,2015-03-03,2016-10-21,bucket,SAMEA3275552,North Atlantic Ocean,"OSD_Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory","OSD_Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,38.5297,-28.601778,"Water sampling for surface microbial community characterization in Faial-Pico channel, a highly dynamic region influenced by tides charactherized by semidiurnal periodocity with maximum values during falling sea level. SST varies from 16ÃÂºC (winter/spring months) to 24ÃÂºC (summer/autumn months) with 0,1mg/m3 Chla (summer /autumn months) to about 2mg/m3 (winter/spring months)",37,"Max Planck Institute for Marine Microbiology, Bremen",0.5,ENVO:01000048; ENVO:01000035,ENVO:00002150; ENVO:00002042; ENVO:01000061,ENVO:00002010; ENVO:00002150,water,2014-06-21T11:35:00+00,38.5297,-28.601778,North Atlantic Ocean,1912,Micro B3,NPL022,35.6,37,OSD97_2014-06-21_0.5m_NPL022,OSD-Jun-2014,Semi-Inflatable Vessel Pintado,"OSD97,Faial Azores",16.9,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1243027,401499780,213506292,2015-03-04 04:56:27,161.5,74.45,161.5,74.45,0.22,,0.22-NA,38.5297 -28.601778,2014,06,21,11:35:00,2014-06-21,surface water,,,
ERR770961,PRJEB8682,1.603,WGS,RANDOM,Illumina MiSeq,87,marine metagenome,ERX714241,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Microbial environment characterization,SAMEA3275553,ERS667571,SAMEA3275553,OSD96_2014-06-21_0m_NPL022,2015-03-03,2016-10-21,Bucket,SAMEA3275553,North Atlantic Ocean,"OSD_Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory","OSD_Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,37.4257,-25.3156,Microbial environment characterization,87,"Max Planck Institute for Marine Microbiology, Bremen",0,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,2014-06-21T11:50:00+00,37.4257,-25.3156,North Atlantic Ocean,1912,Micro B3,NPL022,35,87,OSD96_2014-06-21_0m_NPL022,OSD-Jun-2014,Zephirus (zodiac),"OSD96,Sao Miguel Azores I",18.5,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,2954465,1603410006,997186887,2015-03-04 04:56:26,271.35,52.65,271.35,52.65,0.22,,0.22-NA,37.4257 -25.3156,2014,06,21,11:50:00,2014-06-21,surface water,,,
ERR770962,PRJEB8682,0.463,WGS,RANDOM,Illumina MiSeq,108,marine metagenome,ERX714315,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"",SAMEA3275554,ERS667572,SAMEA3275554,OSD95_2014-06-21_0m_NPL022,2015-03-03,2016-10-21,Bucket,SAMEA3275554,Singapore Strait,OSD_Singapore Centre on Environmental Life Science Engineering at Nanyang Technological University,OSD_Singapore Centre on Environmental Life Science Engineering at Nanyang Technological University,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,1.2726,103.9206,"",108,"Max Planck Institute for Marine Microbiology, Bremen",0,Marine Biome,Surface Water,Sea Water,water,2014-06-21T16:25:00+00,1.2685,103.9168,Singapore Strait,4336,Micro B3,NPL022,31.03,108,OSD95_2014-06-21_0m_NPL022,OSD-Jun-2014,"","OSD95,Singapore Indigo_V",31,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1242413,463163674,255350490,2015-03-04 04:56:27,186.4,81.23,186.4,81.23,0.22,,0.22-NA,1.2685 103.9168,2014,06,21,16:25:00,2014-06-21,surface water,,,
ERR770963,PRJEB8682,0.485,WGS,RANDOM,Illumina MiSeq,49,marine metagenome,ERX714251,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,exploring diversity,SAMEA3275555,ERS667573,SAMEA3275555,OSD94_2014-06-21_0m_NPL022,2015-03-03,2016-10-21,bottle 5L,SAMEA3275555,Alboran Sea,"OSD_Faculty of Science of Oujda, University Mohamed First","OSD_Faculty of Science of Oujda, University Mohamed First",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,35.086353,-2.214658,exploring diversity,49,"Max Planck Institute for Marine Microbiology, Bremen",0,ENVO 01000047,ENVO 0000569,ENVO 00002150,water,2014-06-21T10:30:00+00,35.086353,-2.214658,Alboran Sea,3324,Micro B3,NPL022,31,49,OSD94_2014-06-21_0m_NPL022,OSD-Jun-2014,ship,"OSD94,Saidia Marina",23.6,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1339269,484966574,276206834,2015-03-04 04:56:27,181.06,74.98,181.06,74.98,0.22,,0.22-NA,35.086353 -2.214658,2014,06,21,10:30:00,2014-06-21,surface water,,,
ERR770964,PRJEB8682,0.416,WGS,RANDOM,Illumina MiSeq,51,marine metagenome,ERX714356,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Exploring diversity,SAMEA3275556,ERS667574,SAMEA3275556,OSD93_2014-06-21_2m_NPL022,2015-03-03,2016-10-21,bottle 5L,SAMEA3275556,North Atlantic Ocean,OSD_Institut Pasteur du Maroc,OSD_Institut Pasteur du Maroc,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,33.259611,-8.499222,Exploring diversity,51,"Max Planck Institute for Marine Microbiology, Bremen",2,ENVO 01000043,ENVO 00000569,ENVO 00002150,water,2014-06-21T11:00:00+00,33.259611,-8.499222,North Atlantic Ocean,1912,Micro B3,NPL022,32.88,51,OSD93_2014-06-21_2m_NPL022,OSD-Jun-2014,ship,"OSD93,Eljadida",19,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1151860,416095728,223430808,2015-03-04 04:56:28,180.62,77.16,180.62,77.16,0.22,,0.22-NA,33.259611 -8.499222,2014,06,21,11:00:00,2014-06-21,surface water,,,
ERR770965,PRJEB8682,0.544,WGS,RANDOM,Illumina MiSeq,50,marine metagenome,ERX714355,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Exploring diversity,SAMEA3275557,ERS667575,SAMEA3275557,OSD92_2014-06-21_2m_NPL022,2015-03-03,2016-10-21,bottle 5L,SAMEA3275557,North Atlantic Ocean,OSD_Institut Pasteur du Maroc,OSD_Institut Pasteur du Maroc,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,33.583917,-7.700639,Exploring diversity,50,"Max Planck Institute for Marine Microbiology, Bremen",2,ENVO 01000043,ENVO 00000569,ENVO 00002150,water,2014-06-21T11:00:00+00,33.583917,-7.700639,North Atlantic Ocean,1912,Micro B3,NPL022,30.75,50,OSD92_2014-06-21_2m_NPL022,OSD-Jun-2014,ship,"OSD92,Casablanca",24,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1446509,543849074,296250367,2015-03-04 04:56:28,187.99,82.98,187.99,82.98,0.22,,0.22-NA,33.583917 -7.700639,2014,06,21,11:00:00,2014-06-21,surface water,,,
ERR770966,PRJEB8682,0.509,WGS,RANDOM,Illumina MiSeq,52,marine metagenome,ERX714354,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Exploring diversity,SAMEA3275558,ERS667576,SAMEA3275558,OSD91_2014-06-21_2m_NPL022,2015-03-03,2016-10-21,bottle 5L,SAMEA3275558,North Atlantic Ocean,OSD_Institut Pasteur du Maroc,OSD_Institut Pasteur du Maroc,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,32.74675,-9.036667,Exploring diversity,52,"Max Planck Institute for Marine Microbiology, Bremen",2,ENVO 01000043,ENVO 00000569,ENVO 00002150,water,2014-06-21T11:00:00+00,32.74675,-9.036667,North Atlantic Ocean,1912,Micro B3,NPL022,27.24,52,OSD91_2014-06-21_2m_NPL022,OSD-Jun-2014,ship,"OSD91,Oualidiya (El oualidia)",19,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1424231,509042950,282617997,2015-03-04 04:56:28,178.71,75.86,178.71,75.86,0.22,,0.22-NA,32.74675 -9.036667,2014,06,21,11:00:00,2014-06-21,surface water,,,
ERR770968,PRJEB8682,0.435,WGS,RANDOM,Illumina MiSeq,8,marine metagenome,ERX714239,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"The San Pedro Ocean Time-series station, or SPOT, is a long term study of the microbial and biogeochemical cycles in the San Pedro Basin off Southern California. Sampling for Ocean Sampling Day in June 2014 was performed at the SPOT station to maintain continuity and a broader ecological context for the solstice day. Many marine sites around the globe conducted sampling within this time frame of several days.",SAMEA3275637,ERS667658,SAMEA3275637,OSD9_2014-06-18_0m_NPL022,2015-03-03,2016-10-21,5 gallon bucket,SAMEA3275637,North Pacific Ocean,"OSD_San Pedro Ocean Time Series, USC Microbial Observatory, University of Southern California","OSD_San Pedro Ocean Time Series, USC Microbial Observatory, University of Southern California",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,33.55,-118.4,"The San Pedro Ocean Time-series station, or SPOT, is a long term study of the microbial and biogeochemical cycles in the San Pedro Basin off Southern California. Sampling for Ocean Sampling Day in June 2014 was performed at the SPOT station to maintain continuity and a broader ecological context for the solstice day. Many marine sites around the globe conducted sampling within this time frame of several days.",8,"Max Planck Institute for Marine Microbiology, Bremen",0,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,2014-06-18T20:18:00+00,33.55,-118.4,North Pacific Ocean,1908,Micro B3,NPL022,33.56,8,OSD9_2014-06-18_0m_NPL022,OSD-Jun-2014,"research vessel, R/V Yellowfin","OSD9,SPOTS",19.2,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,842193,434855572,221201564,2015-03-04 04:56:28,258.17,69.5,258.17,69.5,0.22,,0.22-NA,33.55 -118.4,2014,06,18,20:18:00,2014-06-18,surface water,,,
