run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,biosample,sample_title,chlorophyll_sensor,citation,ena_first_public,ena_last_update,event_date_time_end,external_id,insdc_center_alias,insdc_center_name,insdc_first_public,insdc_last_update,insdc_status,latitude_end,longitude_end,salinity_sensor,submitter_id,depth,environment_biome,environment_feature,environment_material,environmental_package,event_date_time_start,event_label,further_details,last_update_date,latitude_start,longitude_start,nitrate_sensor,oxygen_sensor,project_name,protocol_label,sample_collection_device,sample_name_1,sample_status,sampling_campaign,sampling_platform,sampling_station,size_fraction_lower_threshold,size_fraction_upper_threshold,temperature,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,marine_region,ena_first_public_1,ena_last_update_1,scientific_name,alias,ena_checklist,sra_accession
ERR1701760,PRJEB1787,37.862,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000105,marine metagenome,ERX1772048,Illumina HiSeq 2000 paired end sequencing; environmental samples,APY_ADMIOSF_r1,METAGENOMIC,PAIRED,ILLUMINA,European Nucleotide Archive,ERP001736,study_APY,APY,GSC,,,,,,,,"This sample (TARA_B100000105) was collected during the Tara Oceans expedition (2009-2013) at station TARA_039 (latitudeN=18.5839, longitudeE=66.4727) on date/time=2010-03-18T11:33, using a PUMP (High Volume Peristaltic Pump) with ECOTriplet. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 23-27 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (1.6-20 micrometres), and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_B100000082.",SAMEA2620084,ERS488919,SAMEA2620084,TARA_20100318T1133Z_039_EVENT_PUMP_P_D_(25 m)_BACT_NUC-DNA(100L)_W1.6-20_TARA_B100000105,0.17638,tbd,2016-10-24,2015-11-04,2010-03-18T12:32,SAMEA2620084,GSC,Genoscope,2016-10-24T17:01:42Z,2015-11-04T11:48:22Z,public,18.5679,66.4581,36.332317,TARA_B100000105,25,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2010-03-18T11:33,TARA_20100318T1133Z_039_EVENT_PUMP,tbd,2014-05-01Z,18.5839,66.4727,-0.611888,192.95875,Tara Oceans expedition (2009-2013),BACT_NUC-DNA(100L)_W1.6-20,PUMP (High Volume Peristaltic Pump) with ECOTriplet,TARA_B100000105,This version can be used to provide data discovery services,TARA_20100309Z,SV Tara,TARA_039,1.6,20,26.812225,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,193956529,37861886168,26506748000,2016-10-25 11:14:42,98,9.22,97.21,10.59,"","","","","","",""
ERR315858,PRJEB1787,7.907,WGS,RANDOM,Illumina HiSeq 2000,TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075,marine metagenome,ERX289007,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,APYAOSE,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_E500000075) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-11-18T08:41Z at station TARA_023 (latitudeN=42.2038, longitudeE=17.715) from a surface water (ENVO:00002042) layer at a depth of 3-7 m, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591084,ERS477979,SAMEA2591084,TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075,0.0419,tbd,"","",2009-11-18T10:46Z,"",GSC,Genoscope,2014-07-11T17:13:11Z,2014-11-06T09:09:24Z,public,42.1874,17.7189,38.201396,"",5,marine biome (ENVO:00000447),surface water (ENVO:00002042) layer,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-11-18T08:41Z,TARA_20091118T0841Z_023_EVENT_PUMP,tbd,2014-03-01Z,42.2038,17.715,99999,221.457208,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,PUMP (High Volume Peristaltic Pump),ERS477979,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091111Z,SV Tara,TARA_023,0.22,1.6,17.321979,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,37472639,7906510735,4928935244,2013-12-25 10:13:34,105.22,9.27,105.77,8.5,"(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)","","","",TARA_E500000075,ERC000030,ERS477979
ERR315859,PRJEB1787,7.891,WGS,RANDOM,Illumina HiSeq 2000,TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081,marine metagenome,ERX289006,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,APYBOSE,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_E500000081) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-11-18T13:50Z at station TARA_023 (latitudeN=42.1735, longitudeE=17.7252) from a deep chlorophyll maximum layer (ENVO:xxxxxxxx) at a depth of 53-57 m, using a PUMP (High Volume Peristaltic Pump) with ECOTriplet. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591098,ERS477998,SAMEA2591098,TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081,0.0599,tbd,"","",2009-11-18T15:46Z,"",GSC,Genoscope,2014-07-18T17:01:27Z,2014-11-06T09:09:25Z,public,42.1659,17.7285,38.472729,"",55,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-11-18T13:50Z,TARA_20091118T1240Z_023_EVENT_PUMP,tbd,2014-05-01Z,42.1735,17.7252,99999,224.786708,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,PUMP (High Volume Peristaltic Pump) with ECOTriplet,ERS477998,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091111Z,SV Tara,TARA_023,0.22,1.6,15.194062,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,37184688,7891005542,4871159109,2013-12-25 10:13:34,106.07,7.95,106.14,7.9,"(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)","","","",TARA_E500000081,ERC000030,ERS477998
ERR315860,PRJEB1787,7.753,WGS,RANDOM,Illumina HiSeq 2000,TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081,marine metagenome,ERX289008,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,APYBOSE,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_E500000081) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-11-18T13:50Z at station TARA_023 (latitudeN=42.1735, longitudeE=17.7252) from a deep chlorophyll maximum layer (ENVO:xxxxxxxx) at a depth of 53-57 m, using a PUMP (High Volume Peristaltic Pump) with ECOTriplet. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591098,ERS477998,SAMEA2591098,TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081,0.0599,tbd,"","",2009-11-18T15:46Z,"",GSC,Genoscope,2014-07-18T17:01:27Z,2014-11-06T09:09:25Z,public,42.1659,17.7285,38.472729,"",55,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-11-18T13:50Z,TARA_20091118T1240Z_023_EVENT_PUMP,tbd,2014-05-01Z,42.1735,17.7252,99999,224.786708,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,PUMP (High Volume Peristaltic Pump) with ECOTriplet,ERS477998,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091111Z,SV Tara,TARA_023,0.22,1.6,15.194062,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,36515588,7753072838,4762806878,2013-12-25 10:13:34,106.12,7.81,106.21,7.75,"(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)","","","",TARA_E500000081,ERC000030,ERS477998
ERR315861,PRJEB1787,7.932,WGS,RANDOM,Illumina HiSeq 2000,TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075,marine metagenome,ERX289009,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,APYAOSE,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_E500000075) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-11-18T08:41Z at station TARA_023 (latitudeN=42.2038, longitudeE=17.715) from a surface water (ENVO:00002042) layer at a depth of 3-7 m, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591084,ERS477979,SAMEA2591084,TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075,0.0419,tbd,"","",2009-11-18T10:46Z,"",GSC,Genoscope,2014-07-11T17:13:11Z,2014-11-06T09:09:24Z,public,42.1874,17.7189,38.201396,"",5,marine biome (ENVO:00000447),surface water (ENVO:00002042) layer,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-11-18T08:41Z,TARA_20091118T0841Z_023_EVENT_PUMP,tbd,2014-03-01Z,42.2038,17.715,99999,221.457208,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,PUMP (High Volume Peristaltic Pump),ERS477979,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091111Z,SV Tara,TARA_023,0.22,1.6,17.321979,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,37310366,7931520724,4858394759,2013-12-25 10:13:34,106.16,7.87,106.42,7.24,"(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)","","","",TARA_E500000075,ERC000030,ERS477979
ERR315862,PRJEB1787,31.403,WGS,RANDOM,Illumina HiSeq 2000,TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015,marine metagenome,ERX289010,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,APY_COSF_r1,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_A100001015) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T10:41Z at station TARA_030 (latitudeN=33.9179, longitudeE=32.898) from a surface water (ENVO:00002042) layer at a depth of 3-7 m, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591108,ERS478017,SAMEA2591108,TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015,0.01585,tbd,"","",2009-12-15T13:30Z,"",GSC,Genoscope,2014-07-11T17:13:11Z,2014-11-06T09:09:25Z,public,33.9203,32.8411,39.425208,"",5,marine biome (ENVO:00000447),surface water (ENVO:00002042) layer,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-12-15T10:41Z,TARA_20091215T1041Z_030_EVENT_PUMP,tbd,2014-05-01Z,33.9179,32.898,-0.447961,207.738375,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,PUMP (High Volume Peristaltic Pump),ERS478017,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091214Z,SV Tara,TARA_030,0.22,1.6,20.460612,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,157929848,31403376810,19639964611,2013-12-25 10:13:34,99.9,6.14,98.94,9.02,(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895),"","","",TARA_A100001015,ERC000030,ERS478017
ERR315863,PRJEB1787,16.03,WGS,RANDOM,Illumina HiSeq 2000,TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015,marine metagenome,ERX289011,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,APYCOSE,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_A100001015) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T10:41Z at station TARA_030 (latitudeN=33.9179, longitudeE=32.898) from a surface water (ENVO:00002042) layer at a depth of 3-7 m, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591108,ERS478017,SAMEA2591108,TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015,0.01585,tbd,"","",2009-12-15T13:30Z,"",GSC,Genoscope,2014-07-11T17:13:11Z,2014-11-06T09:09:25Z,public,33.9203,32.8411,39.425208,"",5,marine biome (ENVO:00000447),surface water (ENVO:00002042) layer,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-12-15T10:41Z,TARA_20091215T1041Z_030_EVENT_PUMP,tbd,2014-05-01Z,33.9179,32.898,-0.447961,207.738375,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,PUMP (High Volume Peristaltic Pump),ERS478017,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091214Z,SV Tara,TARA_030,0.22,1.6,20.460612,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,81462943,16030047281,10471364458,2013-12-25 10:13:34,98.25,13.79,98.53,13.23,(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895),"","","",TARA_A100001015,ERC000030,ERS478017
ERR318618,PRJEB1787,15.893,WGS,RANDOM,Illumina Genome Analyzer IIx,TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011,marine metagenome,ERX291766,Illumina Genome Analyzer IIx paired end sequencing; Marine metagenome.,APYDOSU,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_A100001011) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T15:23:37Z at station TARA_030 (latitudeN=33.9235, longitudeE=32.8118) from a deep chlorophyll maximum layer (ENVO:xxxxxxxx) at a depth of 66-75 m, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591122,ERS478040,SAMEA2591122,TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011,0.042495,tbd,"","",2009-12-15T17:32Z,"",GSC,Genoscope,2014-07-18T17:01:27Z,2014-11-06T09:09:25Z,public,33.93,32.7322,39.255952,"",70,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-12-15T15:23:37Z,TARA_20091215T1512Z_030_Combined-EVENTS_CAST,tbd,2014-05-01Z,33.9235,32.8118,0.254406,218.132538,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,ERS478040,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091214Z,SV Tara,TARA_030,0.22,1.6,18.979535,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,78363621,15892936467,9050831172,2013-12-25 10:13:34,101.14,9.81,101.67,8.78,(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895),"","","",TARA_A100001011,ERC000030,ERS478040
ERR318619,PRJEB1787,1.17,WGS,RANDOM,Illumina Genome Analyzer IIx,TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011,marine metagenome,ERX291768,Illumina Genome Analyzer IIx paired end sequencing; Marine metagenome.,APYDOSW,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_A100001011) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T15:23:37Z at station TARA_030 (latitudeN=33.9235, longitudeE=32.8118) from a deep chlorophyll maximum layer (ENVO:xxxxxxxx) at a depth of 66-75 m, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591122,ERS478040,SAMEA2591122,TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011,0.042495,tbd,"","",2009-12-15T17:32Z,"",GSC,Genoscope,2014-07-18T17:01:27Z,2014-11-06T09:09:25Z,public,33.93,32.7322,39.255952,"",70,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-12-15T15:23:37Z,TARA_20091215T1512Z_030_Combined-EVENTS_CAST,tbd,2014-05-01Z,33.9235,32.8118,0.254406,218.132538,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,ERS478040,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091214Z,SV Tara,TARA_030,0.22,1.6,18.979535,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,7753939,1169571614,777792820,2013-12-25 10:13:34,98.6,10.21,52.24,7.19,(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895),"","","",TARA_A100001011,ERC000030,ERS478040
ERR318620,PRJEB1787,16.106,WGS,RANDOM,Illumina Genome Analyzer IIx,TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011,marine metagenome,ERX291769,Illumina Genome Analyzer IIx paired end sequencing; Marine metagenome.,APYDOSU,METAGENOMIC,PAIRED,ILLUMINA,"GSC, The Genoscope center",ERP001736,study_APY,APY,Genoscope,,,,,,,,"This sample (TARA_A100001011) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T15:23:37Z at station TARA_030 (latitudeN=33.9235, longitudeE=32.8118) from a deep chlorophyll maximum layer (ENVO:xxxxxxxx) at a depth of 66-75 m, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.22-1.6 micrometres) and preserved on board in liquid nitrogen for later phylogenetic analysis of prokaryote nucleotide sequences identification by pyrosequencing methods.",SAMEA2591122,ERS478040,SAMEA2591122,TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011,0.042495,tbd,"","",2009-12-15T17:32Z,"",GSC,Genoscope,2014-07-18T17:01:27Z,2014-11-06T09:09:25Z,public,33.93,32.7322,39.255952,"",70,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-12-15T15:23:37Z,TARA_20091215T1512Z_030_Combined-EVENTS_CAST,tbd,2014-05-01Z,33.9235,32.8118,0.254406,218.132538,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,ERS478040,This version is NOT FINAL but can be used to provide data discovery services,TARA_20091214Z,SV Tara,TARA_030,0.22,1.6,18.979535,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for  prokaryotes.,,Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing.,[],1,79459583,16106127837,9272015244,2013-12-25 10:13:34,101.11,9.84,101.59,8.88,(search radius=5 degree) Marine Ecoregion:Levantine Sea (MRGID:21895),"","","",TARA_A100001011,ERC000030,ERS478040
