sample	biosample	run	bioproject	gbp	library_strategy	library_selection	model	sample_name	taxon_name	experiment_accession	experiment_title	library_name	library_source	library_layout	platform	submitter	study_accession	study_alias	study_centre_project_name	organisation	organisation_department	organisation_institution	organisation_street	organisation_city	organisation_country	organisation_contact_name	organisation_contact_email	sample_description	sample_alias	sample_accession	sample_title	collection_date	depth	env_biome	env_feature	env_material	geo_loc_name	study_title	design_description	study_abstract	study_links	number_of_runs_for_sample	spots	bases	run_size	published	read1_length_average	read1_length_stdev	read2_length_average	read2_length_stdev	year	month	day	time	temperature_degC	salinity_pss	size_frac_low	size_frac_up	size_frac	samp_size	samp_vol_we_dna_ext	lat_lon	latitude	longitude	layer	local_time	environmental_package	project	season	sub_region_seavox	region_seavox	provcode_longhurst	provdescr_longhurst	environment	geometry
BATS_SAMN07137064_10_2003_04_22	SAMN07137064	SRR5720327	PRJNA385855	8.163	WGS	RANDOM	NextSeq 550	S0567	marine metagenome	SRX2937227	Metagenome from BATS, BATS175, 10m	S0567	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0567	SRS2299015			10.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	27210818	8163245400	3420029448	2018-05-01 00:39:24	150.0	0.0	150.0	0.0	2003	4	22	19:06	21.854	36.57	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	surface water		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137074_60_2004_03_23	SAMN07137074	SRR5720334	PRJNA385855	9.278	WGS	RANDOM	NextSeq 550	S0577	marine metagenome	SRX2937220	Metagenome from BATS, BATS186, 60m	S0577	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0577	SRS2299008			60.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	30926179	9277853700	4004584760	2018-05-01 00:39:24	150.0	0.0	150.0	0.0	2004	3	23	19:48	19.889	36.677	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	deep chlorophyll maximum		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137076_1_2004_12_08	SAMN07137076	SRR5720342	PRJNA385855	9.457	WGS	RANDOM	NextSeq 550	S0579	marine metagenome	SRX2937212	Metagenome from BATS, BATS195, 1m	S0579	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0579	SRS2298999			1.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	31522929	9456878700	4085075170	2018-05-01 00:39:23	150.0	0.0	150.0	0.0	2004	12	8	17:57	23.036	36.761	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	surface water		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137085_10_2003_07_15	SAMN07137085	SRR5720235	PRJNA385855	3.99	WGS	RANDOM	NextSeq 550	S0588	marine metagenome	SRX2937319	Metagenome from BATS, BATS178, 10m	S0588	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0588	SRS2299107			10.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	13300975	3990292500	1670067677	2018-05-01 00:39:26	150.0	0.0	150.0	0.0	2003	7	15	19:03	28.331	36.444	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	surface water		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137088_10_2003_08_12	SAMN07137088	SRR5720286	PRJNA385855	3.82	WGS	RANDOM	NextSeq 550	S0591	marine metagenome	SRX2937268	Metagenome from BATS, BATS179, 10m	S0591	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0591	SRS2299056			10.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	12732789	3819836700	1572527313	2018-05-01 00:39:25	150.0	0.0	150.0	0.0	2003	8	12	17:22	28.984	36.637	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	surface water		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137091_1_2004_04_21	SAMN07137091	SRR5720256	PRJNA385855	10.733	WGS	RANDOM	NextSeq 550	S0594	marine metagenome	SRX2937298	Metagenome from BATS, BATS187, 1m	S0594	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0594	SRS2299086			1.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	35777935	10733380500	4714233707	2018-05-01 00:39:25	150.0	0.0	150.0	0.0	2004	4	21	18:39	19.909	36.704	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	surface water		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137092_40_2004_04_21	SAMN07137092	SRR5720249	PRJNA385855	12.717	WGS	RANDOM	NextSeq 550	S0595	marine metagenome	SRX2937305	Metagenome from BATS, BATS187, 40m	S0595	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0595	SRS2299093			40.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	42389421	12716826300	5514526765	2018-05-01 00:39:26	150.0	0.0	150.0	0.0	2004	4	21	18:39	19.788	36.718	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	deep chlorophyll maximum		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137103_1_2003_05_20	SAMN07137103	SRR5720283	PRJNA385855	6.531	WGS	RANDOM	NextSeq 550	S0606	marine metagenome	SRX2937271	Metagenome from BATS, BATS176, 1m	S0606	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0606	SRS2299059			1.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	21770198	6531059400	2751859475	2018-05-01 00:39:25	150.0	0.0	150.0	0.0	2003	5	20	17:49	22.746	36.669	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	surface water		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137109_1_2003_12_02	SAMN07137109	SRR5720262	PRJNA385855	6.831	WGS	RANDOM	NextSeq 550	S0612	marine metagenome	SRX2937292	Metagenome from BATS, BATS183, 1m	S0612	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0612	SRS2299080			1.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	22769159	6830747700	3143858891	2018-05-01 00:39:25	150.0	0.0	150.0	0.0	2003	12	2	18:02	24.207	36.801	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	surface water		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
BATS_SAMN07137112_10_2004_05_18	SAMN07137112	SRR5720257	PRJNA385855	4.472	WGS	RANDOM	NextSeq 550	S0615	marine metagenome	SRX2937297	Metagenome from BATS, BATS188, 10m	S0615	METAGENOMIC	PAIRED	ILLUMINA	Civil and Environmental Engineering, MIT	SRP109831	PRJNA385855	marine metagenome	MIT	Civil and Environmental Engineering	MIT	15 Vassar St., 48-424	Cambridge	USA	Steven Biller	sbiller@gmail.com		S0615	SRS2299085			10.0	ocean biome	ocean	water	Atlantic Ocean: Sargasso Sea, BATS	Temporal sampling of marine metagenomes from Station ALOHA and BATS	Filtered water sample; Phenol:Chloroform extraction; Nextera XT library prep		"[{""label"": ""Metagenomic Assemblies"", ""url"": ""https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP109831""}]"	1	14907037	4472111100	1865588302	2018-05-01 00:39:25	150.0	0.0	150.0	0.0	2004	5	18	17:17	23.272	36.913	0.22		0.22-NA	500.0	100.0	31.66 -64.16	31.66	-64.16	surface water		water	BATS		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	c(-64.16, 31.66)
