sample	latitude	longitude	project	depth	temperature_degC	year	model	layer	season	sub_region_seavox	region_seavox	provdescr_longhurst	environment	env_biome	env_feature	env_material
BATS_SAMN07137064_10_2003_04_22	31.66	-64.16	BATS	10.0	21.854	2003.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137074_60_2004_03_23	31.66	-64.16	BATS	60.0	19.889	2004.0	NextSeq 550	deep chlorophyll maximum		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137076_1_2004_12_08	31.66	-64.16	BATS	1.0	23.036	2004.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137085_10_2003_07_15	31.66	-64.16	BATS	10.0	28.331	2003.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137088_10_2003_08_12	31.66	-64.16	BATS	10.0	28.984	2003.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137091_1_2004_04_21	31.66	-64.16	BATS	1.0	19.909	2004.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137092_40_2004_04_21	31.66	-64.16	BATS	40.0	19.788	2004.0	NextSeq 550	deep chlorophyll maximum		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137103_1_2003_05_20	31.66	-64.16	BATS	1.0	22.746	2003.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137109_1_2003_12_02	31.66	-64.16	BATS	1.0	24.207	2003.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137112_10_2004_05_18	31.66	-64.16	BATS	10.0	23.272	2004.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
